Symbol Prob.     Huffman     Code        
!                25.0        0101        
,                22.0        0010        
.                20.0        0000        
A                16.0        11100       
B                24.0        0100        
C                19.0        11111       
D                9.0         10101       
E                3.0         01111       
F                10.0        10110       
G                17.0        11101       
H                15.0        11011       
I                14.0        11010       
J                21.0        0001        
K                2.0         01110       
L                18.0        11110       
M                4.0         10000       
N                5.0         10001       
O                1.0         01101       
P                0.0         01100       
R                8.0         10100       
S                11.0        10111       
T                6.0         10010       
U                13.0        11001       
V                23.0        0011        
W                7.0         10011       
Y                12.0        11000       
